Escala;UF;Recorte;Ano;ParticipacaoEC
Estadual;AC;Acre;2024;0.018173245210942306
Estadual;AL;Alagoas;2024;0.023336852598734536
Estadual;AP;Amapá;2024;0.01847386811219982
Estadual;AM;Amazonas;2024;0.03786943609560613
Estadual;BA;Bahia;2024;0.023631300615691183
Estadual;CE;Ceará;2024;0.030635762346103806
Estadual;DF;Distrito Federal;2024;0.03758635518959674
Estadual;ES;Espírito Santo;2024;0.024205325105094933
Estadual;GO;Goiás;2024;0.027465297289761288
Estadual;MA;Maranhão;2024;0.020319482118261834
Estadual;MT;Mato Grosso;2024;0.023444265382084255
Estadual;MS;Mato Grosso do Sul;2024;0.028869231990486657
Estadual;MG;Minas Gerais;2024;0.027299040536456532
Estadual;PR;Paraná;2024;0.03341331825337389
Estadual;PB;Paraíba;2024;0.024542004322649715
Estadual;PA;Pará;2024;0.024106538518684162
Estadual;PE;Pernambuco;2024;0.03246551347513529
Estadual;PI;Piauí;2024;0.01985354738611946
Estadual;RN;Rio Grande do Norte;2024;0.021577030491613684
Estadual;RS;Rio Grande do Sul;2024;0.03895664051638166
Estadual;RJ;Rio de Janeiro;2024;0.04216975336193362
Estadual;RO;Rondônia;2024;0.024333459873114686
Estadual;RR;Roraima;2024;0.03334280179113433
Estadual;SC;Santa Catarina;2024;0.04283487524892499
Estadual;SE;Sergipe;2024;0.02605591505781976
Estadual;SP;São Paulo;2024;0.04874771072519269
Estadual;TO;Tocantins;2024;0.02215625612758448
Municipal;SE;Aracaju;2024;0.033592811640034664
Municipal;MG;Belo Horizonte;2024;0.03505700049329526
Municipal;PA;Belém;2024;0.02974530602001986
Municipal;RR;Boa Vista;2024;0.040768219462564585
Municipal;DF;Brasília;2024;0.03758635518959674
Municipal;MS;Campo Grande;2024;0.04752261263007676
Municipal;MT;Cuiabá;2024;0.030011161304162638
Municipal;PR;Curitiba;2024;0.05243433835488248
Municipal;SC;Florianópolis;2024;0.09167174776972009
Municipal;CE;Fortaleza;2024;0.03886199372317854
Municipal;GO;Goiânia;2024;0.034881138531964555
Municipal;PB;João Pessoa;2024;0.031193870479584766
Municipal;AP;Macapá;2024;0.017669903687649428
Municipal;AL;Maceió;2024;0.029583263301571235
Municipal;AM;Manaus;2024;0.05398897995091911
Municipal;RN;Natal;2024;0.03302661060637897
Municipal;TO;Palmas;2024;0.017362084190377488
Municipal;RS;Porto Alegre;2024;0.06332549700296128
Municipal;RO;Porto Velho;2024;0.022372230664640485
Municipal;PE;Recife;2024;0.045801182221391776
Municipal;AC;Rio Branco;2024;0.01747414539711651
Municipal;RJ;Rio de Janeiro;2024;0.05215955008156632
Municipal;BA;Salvador;2024;0.036487616915727404
Municipal;MA;São Luís;2024;0.020801605601070076
Municipal;SP;São Paulo;2024;0.07155120151462724
Municipal;PI;Teresina;2024;0.02388119056271298
Municipal;ES;Vitória;2024;0.03337035211393074
