codigo_municipio;nome_municipio;ec_por_1000_trabalhadores
5200050;Abadia de Goiás;49,42
3100104;Abadia dos Dourados;3,45
5200100;Abadiânia;5,36
1500107;Abaetetuba;12,33
3100203;Abaeté;11,66
2300101;Abaiara;25,83
2900207;Abaré;3,28
4100103;Abatiá;9,49
2900108;Abaíra;0
4200051;Abdon Batista;46,6
1500131;Abel Figueiredo;6,25
4200101;Abelardo Luz;11,79
3100302;Abre Campo;21,96
2600054;Abreu e Lima;30,69
1700251;Abreulândia;4,91
3100401;Acaiaca;0
2900306;Acajutiba;0,47
2300150;Acarape;11,24
2300200;Acaraú;11,94
2400109;Acari;4,33
1500206;Acará;9,23
2200053;Acauã;57,69
4300034;Aceguá;9,69
2300309;Acopiara;7,27
5100102;Acorizal;3,03
1200013;Acrelândia;16,92
5200134;Acreúna;7,3
3500105;Adamantina;12,96
5200159;Adelândia;2,82
3500204;Adolfo;8,2
4100202;Adrianópolis;17,74
2900355;Adustina;3,94
2600104;Afogados da Ingazeira;19,17
2400307;Afonso Bezerra;5,95
3200102;Afonso Cláudio;14,07
2100105;Afonso Cunha;15,62
2600203;Afrânio;15,11
1500305;Afuá;0
2600302;Agrestina;7,93
2200103;Agricolândia;31,82
4200200;Agrolândia;16,98
4200309;Agronômica;17,42
3100807;Aguanil;9,62
3500303;Aguaí;44,71
4300109;Agudo;19,8
3500709;Agudos;9,8
4100301;Agudos do Sul;8,39
2500205;Aguiar;0
1700301;Aguiarnópolis;1,05
3101102;Aimorés;45,05
2900603;Aiquara;0
2300408;Aiuaba;2,08
3101201;Aiuruoca;0,66
4300208;Ajuricaba;13,29
3101300;Alagoa;0
2500304;Alagoa Grande;14,28
2500403;Alagoa Nova;2,54
2500502;Alagoinha;0,9
2600609;Alagoinha;10,57
2200251;Alagoinha do Piauí;0
2900702;Alagoinhas;33,12
3500758;Alambari;0,85
3101409;Albertina;4,66
2500536;Alcantil;18,34
5000252;Alcinópolis;10,39
2900801;Alcobaça;6,37
2100204;Alcântara;3,92
2300507;Alcântaras;11,17
2100303;Aldeias Altas;2,27
4300307;Alecrim;10,12
3200201;Alegre;24,71
4300406;Alegrete;23,32
2200277;Alegrete do Piauí;0
4300455;Alegria;0
1500404;Alenquer;19,72
2400505;Alexandria;16,06
