grupo;ano;media_salarial_deflacionada
Brasil;2016;4334.87
Brasil;2017;4402.73
Brasil;2018;4330.28
Brasil;2019;4311.29
Brasil;2020;4091.68
Brasil;2021;3775.46
Brasil;2022;4491.91
Brasil;2023;3936.75
Brasil;2024;4022.43
Brasil;2025;4075.48
Economia Criativa;2016;4873.72
Economia Criativa;2017;5015.28
Economia Criativa;2018;4944.21
Economia Criativa;2019;4997.59
Economia Criativa;2020;4844.71
Economia Criativa;2021;4644.37
Economia Criativa;2022;5463.17
Economia Criativa;2023;4921.29
Economia Criativa;2024;5008.55
Economia Criativa;2025;5093.45
Agricultura;2016;2720.55
Agricultura;2017;2791.41
Agricultura;2018;2739.19
Agricultura;2019;2707.22
Agricultura;2020;2639.72
Agricultura;2021;2448.74
Agricultura;2022;2790.08
Agricultura;2023;2640.62
Agricultura;2024;2751.84
Agricultura;2025;2843.81
Indústria extrativa;2016;9645.35
Indústria extrativa;2017;9455.59
Indústria extrativa;2018;9224.7
Indústria extrativa;2019;9261.35
Indústria extrativa;2020;8458.38
Indústria extrativa;2021;7680.4
Indústria extrativa;2022;10025.51
Indústria extrativa;2023;8094.75
Indústria extrativa;2024;8270.73
Indústria extrativa;2025;8431.02
Construção Civil;2016;3559.03
Construção Civil;2017;3534.28
Construção Civil;2018;3400.94
Construção Civil;2019;3343.65
Construção Civil;2020;3081.85
Construção Civil;2021;2891.48
Construção Civil;2022;4028.02
Construção Civil;2023;3000.9
Construção Civil;2024;3084.22
Construção Civil;2025;3134.9
