dominio_cultural;sexo;media_salarial
Apresentações artísticas e celebrações;Feminino;3754.43
Apresentações artísticas e celebrações;Masculino;3552.79
Artes visuais e artesanato;Feminino;2817.49
Artes visuais e artesanato;Masculino;2993.82
Design e serviços criativos;Feminino;2917.68
Design e serviços criativos;Masculino;3392.58
Educação e Capacitação;Feminino;2263.25
Educação e Capacitação;Masculino;2610.71
Equipamentos e materiais de apoio;Feminino;5060.42
Equipamentos e materiais de apoio;Masculino;6936.13
Esportes e recreação;Feminino;2314.5
Esportes e recreação;Masculino;2730.25
Livro e imprensa;Feminino;3380.42
Livro e imprensa;Masculino;4144.88
Mídias audiovisuais e interativas;Feminino;5105.09
Mídias audiovisuais e interativas;Masculino;5429.17
Patrimônio natural e cultural;Feminino;3541.3
Patrimônio natural e cultural;Masculino;3756.26
