ano;mes;grupo;variacao_vinculos_pct;variacao_salarial_pct
2024;12;Brasil;0.0;0.0
2024;12;Economia Criativa;0.0;0.0
2025;1;Brasil;0.002848;0.001322
2025;1;Economia Criativa;0.001626;-0.000241
2025;2;Brasil;0.012438;0.005082
2025;2;Economia Criativa;0.006135;0.000561
2025;3;Brasil;0.014101;0.006126
2025;3;Economia Criativa;0.006526;-0.000735
2025;4;Brasil;0.01994;0.009401
2025;4;Economia Criativa;0.010954;0.000755
2025;5;Brasil;0.022733;0.01041
2025;5;Economia Criativa;0.012364;0.001573
2025;6;Brasil;0.026419;0.012391
2025;6;Economia Criativa;0.013886;0.002765
2025;7;Brasil;0.029139;0.013364
2025;7;Economia Criativa;0.014722;0.003172
2025;8;Brasil;0.032492;0.014089
2025;8;Economia Criativa;0.01753;0.00436
2025;9;Brasil;0.037163;0.016138
2025;9;Economia Criativa;0.020086;0.005908
2025;10;Brasil;0.038997;0.016184
2025;10;Economia Criativa;0.021428;0.005121
2025;11;Brasil;0.041054;0.015574
2025;11;Economia Criativa;0.025555;0.006641
2025;12;Brasil;0.027622;0.007214
2025;12;Economia Criativa;0.018262;0.000927
2026;1;Brasil;0.029891;0.00837
2026;1;Economia Criativa;0.019422;4.8e-05
2026;2;Brasil;0.035563;0.010481
2026;2;Economia Criativa;0.019955;-0.00161
2026;3;Brasil;0.040909;0.012528
2026;3;Economia Criativa;0.02191;-0.002476
2026;4;Brasil;0.042818;0.013418
2026;4;Economia Criativa;0.022375;-0.003499
