grupo_original;grupo;ano;total_vinculos
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2016;1483211
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2017;1506245
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2018;1497914
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2019;1473795
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2020;1466390
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2021;1531816
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2022;1751420
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2023;1783523
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2024;1801461
Agricultura, pecuária, produção florestal, pesca e aquicultura;Agricultura;2025;1834199
Construção;Construção Civil;2016;2122335
Construção;Construção Civil;2017;1961791
Construção;Construção Civil;2018;1977182
Construção;Construção Civil;2019;1987390
Construção;Construção Civil;2020;2111806
Construção;Construção Civil;2021;2313533
Construção;Construção Civil;2022;2667369
Construção;Construção Civil;2023;2849030
Construção;Construção Civil;2024;2945800
Construção;Construção Civil;2025;3021524
Cultura;Economia Criativa;2016;1497318
Cultura;Economia Criativa;2017;1467890
Cultura;Economia Criativa;2018;1482343
Cultura;Economia Criativa;2019;1522030
Cultura;Economia Criativa;2020;1499201
Cultura;Economia Criativa;2021;1618484
Cultura;Economia Criativa;2022;1812157
Cultura;Economia Criativa;2023;1843681
Cultura;Economia Criativa;2024;1899271
Cultura;Economia Criativa;2025;1942497
Indústria extrativa;Indústria extrativa;2016;221331
Indústria extrativa;Indústria extrativa;2017;212337
Indústria extrativa;Indústria extrativa;2018;212629
Indústria extrativa;Indústria extrativa;2019;222260
Indústria extrativa;Indústria extrativa;2020;227666
Indústria extrativa;Indústria extrativa;2021;243993
Indústria extrativa;Indústria extrativa;2022;256129
Indústria extrativa;Indústria extrativa;2023;269786
Indústria extrativa;Indústria extrativa;2024;280951
Indústria extrativa;Indústria extrativa;2025;291006
