grupo;Escala;Recorte;Ano;Formal - Total;Informal - Total
Economia Criativa;Estadual;Acre;2024;0,417157233082505;0,5828427669174954
Economia Criativa;Estadual;Alagoas;2024;0,40367230625651457;0,5963276937434853
Economia Criativa;Estadual;Amapá;2024;0,5000264531024403;0,4999735468975598
Economia Criativa;Estadual;Amazonas;2024;0,6147767631649692;0,3852232368350318
Economia Criativa;Estadual;Bahia;2024;0,4274632163254677;0,5725367836745325
Economia Criativa;Estadual;Ceará;2024;0,3887829270481212;0,6112170729518789
Economia Criativa;Estadual;Distrito Federal;2024;0,6034595418614601;0,3965404581385399
Economia Criativa;Estadual;Espírito Santo;2024;0,59291551763451;0,4070844823654902
Economia Criativa;Estadual;Goiás;2024;0,5280023008841281;0,4719976991158721
Economia Criativa;Estadual;Maranhão;2024;0,3177376050995702;0,6822623949004298
Economia Criativa;Estadual;Mato Grosso;2024;0,5906625261509428;0,4093374738490574
Economia Criativa;Estadual;Mato Grosso do Sul;2024;0,5594067082855302;0,4405932917144697
Economia Criativa;Estadual;Minas Gerais;2024;0,5991512508081989;0,40084874919180136
Economia Criativa;Estadual;Paraná;2024;0,6680582245672345;0,33194177543276604
Economia Criativa;Estadual;Paraíba;2024;0,4047585020890837;0,5952414979109157
Economia Criativa;Estadual;Pará;2024;0,2587280854699239;0,741271914530076
Economia Criativa;Estadual;Pernambuco;2024;0,3866132951801816;0,6133867048198186
Economia Criativa;Estadual;Piauí;2024;0,4034938270076961;0,5965061729923038
Economia Criativa;Estadual;Rio Grande do Norte;2024;0,49102514692411026;0,5089748530758893
Economia Criativa;Estadual;Rio Grande do Sul;2024;0,6742724053081315;0,3257275946918693
Economia Criativa;Estadual;Rio de Janeiro;2024;0,5339222129643736;0,4660777870356275
Economia Criativa;Estadual;Rondônia;2024;0,48201266639958296;0,5179873336004173
Economia Criativa;Estadual;Roraima;2024;0,23144805942535254;0,7685519405746475
Economia Criativa;Estadual;Santa Catarina;2024;0,6995757608843124;0,3004242391156879
Economia Criativa;Estadual;Sergipe;2024;0,43742646117822914;0,5625735388217713
Economia Criativa;Estadual;São Paulo;2024;0,6010051176136284;0,39899488238637004
Economia Criativa;Estadual;Tocantins;2024;0,2850665487374303;0,7149334512625694
