grupo;Escala;Recorte;Ano;Formal - Total;Informal - Total
Economia Criativa;Estadual;Acre;2024;0.417157233082505;0.5828427669174954
Economia Criativa;Estadual;Alagoas;2024;0.40367230625651457;0.5963276937434853
Economia Criativa;Estadual;Amapá;2024;0.5000264531024403;0.4999735468975598
Economia Criativa;Estadual;Amazonas;2024;0.6147767631649692;0.3852232368350318
Economia Criativa;Estadual;Bahia;2024;0.4274632163254677;0.5725367836745325
Economia Criativa;Estadual;Ceará;2024;0.3887829270481212;0.6112170729518789
Economia Criativa;Estadual;Distrito Federal;2024;0.6034595418614601;0.3965404581385399
Economia Criativa;Estadual;Espírito Santo;2024;0.59291551763451;0.4070844823654902
Economia Criativa;Estadual;Goiás;2024;0.5280023008841281;0.4719976991158721
Economia Criativa;Estadual;Maranhão;2024;0.3177376050995702;0.6822623949004298
Economia Criativa;Estadual;Mato Grosso;2024;0.5906625261509428;0.4093374738490574
Economia Criativa;Estadual;Mato Grosso do Sul;2024;0.5594067082855302;0.4405932917144697
Economia Criativa;Estadual;Minas Gerais;2024;0.5991512508081989;0.40084874919180136
Economia Criativa;Estadual;Paraná;2024;0.6680582245672345;0.33194177543276604
Economia Criativa;Estadual;Paraíba;2024;0.4047585020890837;0.5952414979109157
Economia Criativa;Estadual;Pará;2024;0.2587280854699239;0.741271914530076
Economia Criativa;Estadual;Pernambuco;2024;0.3866132951801816;0.6133867048198186
Economia Criativa;Estadual;Piauí;2024;0.4034938270076961;0.5965061729923038
Economia Criativa;Estadual;Rio Grande do Norte;2024;0.49102514692411026;0.5089748530758893
Economia Criativa;Estadual;Rio Grande do Sul;2024;0.6742724053081315;0.3257275946918693
Economia Criativa;Estadual;Rio de Janeiro;2024;0.5339222129643736;0.4660777870356275
Economia Criativa;Estadual;Rondônia;2024;0.48201266639958296;0.5179873336004173
Economia Criativa;Estadual;Roraima;2024;0.23144805942535254;0.7685519405746475
Economia Criativa;Estadual;Santa Catarina;2024;0.6995757608843124;0.3004242391156879
Economia Criativa;Estadual;Sergipe;2024;0.43742646117822914;0.5625735388217713
Economia Criativa;Estadual;São Paulo;2024;0.6010051176136284;0.39899488238637004
Economia Criativa;Estadual;Tocantins;2024;0.2850665487374303;0.7149334512625694
Economia Criativa;Municipal;Aracaju;2024;0.4775549033818907;0.5224450966181095
Economia Criativa;Municipal;Belo Horizonte;2024;0.6785424964526969;0.32145750354730324
Economia Criativa;Municipal;Belém;2024;0.39386745064480694;0.6061325493551935
Economia Criativa;Municipal;Boa Vista;2024;0.23435932287560685;0.7656406771243932
Economia Criativa;Municipal;Brasília;2024;0.6034595418614601;0.3965404581385399
Economia Criativa;Municipal;Campo Grande;2024;0.48954631005165467;0.5104536899483447
Economia Criativa;Municipal;Cuiabá;2024;0.4333785863228696;0.5666214136771305
Economia Criativa;Municipal;Curitiba;2024;0.6254431622162618;0.37455683778373833
Economia Criativa;Municipal;Florianópolis;2024;0.5777645419457695;0.42223545805423063
Economia Criativa;Municipal;Fortaleza;2024;0.4542170209979359;0.5457829790020639
Economia Criativa;Municipal;Goiânia;2024;0.6085984929235275;0.39140150707647187
Economia Criativa;Municipal;João Pessoa;2024;0.5534144733032735;0.44658552669672635
Economia Criativa;Municipal;Macapá;2024;0.6243714778754497;0.37562852212455033
Economia Criativa;Municipal;Maceió;2024;0.4573910094752407;0.5426089905247593
Economia Criativa;Municipal;Manaus;2024;0.7144430074430231;0.2855569925569768
Economia Criativa;Municipal;Natal;2024;0.5223157825580889;0.4776842174419109
Economia Criativa;Municipal;Palmas;2024;0.4285132591405541;0.5714867408594458
Economia Criativa;Municipal;Porto Alegre;2024;0.5911669154272541;0.4088330845727458
Economia Criativa;Municipal;Porto Velho;2024;0.45348281818715974;0.5465171818128399
Economia Criativa;Municipal;Recife;2024;0.4705047237277064;0.5294952762722935
Economia Criativa;Municipal;Rio Branco;2024;0.5939474813761251;0.4060525186238747
Economia Criativa;Municipal;Rio de Janeiro;2024;0.5663414939391639;0.4336585060608364
Economia Criativa;Municipal;Salvador;2024;0.4867591306785133;0.5132408693214859
Economia Criativa;Municipal;São Luís;2024;0.41792975425768786;0.5820702457423121
Economia Criativa;Municipal;São Paulo;2024;0.569707792431828;0.43029220756817255
Economia Criativa;Municipal;Teresina;2024;0.530058406817003;0.4699415931829965
Economia Criativa;Municipal;Vitória;2024;0.6780417024540385;0.32195829754596156
